,Series_reference,Data_value,STATUS
126,BDCQ.SEA1AT,92758.0,R
127,BDCQ.SEA1AT,92636.0,R
128,BDCQ.SEA1AT,92356.0,R
129,BDCQ.SEA1AT,92875.0,R
130,BDCQ.SEA1AT,93957.0,R
131,BDCQ.SEA1AT,94311.0,R
132,BDCQ.SEA1AT,94403.0,R
133,BDCQ.SEA1AT,94794.0,R
134,BDCQ.SEA1AT,94616.0,R
135,BDCQ.SEA1AT,94465.0,R
136,BDCQ.SEA1AT,95322.0,R
137,BDCQ.SEA1AT,95873.0,R
138,BDCQ.SEA1AT,95074.0,R
139,BDCQ.SEA1AT,94589.0,R
140,BDCQ.SEA1AT,95114.0,R
141,BDCQ.SEA1AT,96025.0,R
142,BDCQ.SEA1AT,97666.0,R
143,BDCQ.SEA1AT,99046.0,R
144,BDCQ.SEA1AT,98654.0,R
145,BDCQ.SEA1AT,97543.0,R
146,BDCQ.SEA1AT,97356.0,R
147,BDCQ.SEA1AT,97698.0,R
148,BDCQ.SEA1AT,98033.0,R
149,BDCQ.SEA1AT,98332.0,R
150,BDCQ.SEA1AT,98117.0,R
151,BDCQ.SEA1AT,96850.0,R
152,BDCQ.SEA1AT,95283.0,R
153,BDCQ.SEA1AT,95006.0,R
154,BDCQ.SEA1AT,95548.0,R
155,BDCQ.SEA1AT,95934.0,R
156,BDCQ.SEA1AT,96189.0,R
157,BDCQ.SEA1AT,96114.0,R
158,BDCQ.SEA1AT,95594.0,F
159,BDCQ.SEA1BA,5234.0,F
160,BDCQ.SEA1BA,5268.0,F
161,BDCQ.SEA1BA,5499.0,F
162,BDCQ.SEA1BA,5811.0,F
163,BDCQ.SEA1BA,5847.0,F
164,BDCQ.SEA1BA,5922.0,F
165,BDCQ.SEA1BA,5722.0,F
166,BDCQ.SEA1BA,5487.0,F
167,BDCQ.SEA1BA,5506.0,F
168,BDCQ.SEA1BA,5540.0,F
169,BDCQ.SEA1BA,5492.0,F
170,BDCQ.SEA1BA,6004.0,F
171,BDCQ.SEA1BA,5886.0,F
172,BDCQ.SEA1BA,5815.0,F
173,BDCQ.SEA1BA,5592.0,F
174,BDCQ.SEA1BA,5300.0,F
175,BDCQ.SEA1BA,5422.0,F
176,BDCQ.SEA1BA,5199.0,F
177,BDCQ.SEA1BA,5060.0,F
178,BDCQ.SEA1BA,5194.0,F
179,BDCQ.SEA1BA,5080.0,F
180,BDCQ.SEA1BA,5129.0,F
181,BDCQ.SEA1BA,5157.0,F
182,BDCQ.SEA1BA,5264.0,F
183,BDCQ.SEA1BA,5164.0,F
184,BDCQ.SEA1BA,5208.0,F
185,BDCQ.SEA1BA,5381.0,F
186,BDCQ.SEA1BA,5370.0,F
187,BDCQ.SEA1BA,5385.0,F
188,BDCQ.SEA1BA,5461.0,F
189,BDCQ.SEA1BA,5434.0,F
190,BDCQ.SEA1BA,5437.0,F
191,BDCQ.SEA1BA,5068.0,F
192,BDCQ.SEA1BA,5370.0,F
193,BDCQ.SEA1BA,5165.0,F
194,BDCQ.SEA1BA,5267.0,F
195,BDCQ.SEA1BA,5245.0,F
196,BDCQ.SEA1BA,5355.0,R
197,BDCQ.SEA1BA,5295.0,R
198,BDCQ.SEA1BA,5384.0,R
199,BDCQ.SEA1BA,5353.0,R
200,BDCQ.SEA1BA,5354.0,R
201,BDCQ.SEA1BA,5410.0,R
202,BDCQ.SEA1BA,5427.0,R
203,BDCQ.SEA1BA,5548.0,R
204,BDCQ.SEA1BA,5490.0,R
205,BDCQ.SEA1BA,5653.0,R
206,BDCQ.SEA1BA,5717.0,F
207,BDCQ.SEA1BA,5874.0,F
208,BDCQ.SEA1BA,5803.0,F
209,BDCQ.SEA1BA,5791.0,F
210,BDCQ.SEA1BA,5845.0,F
211,BDCQ.SEA1BA,5995.0,F
212,BDCQ.SEA1BS,5234.0,R
213,BDCQ.SEA1BS,5268.0,R
214,BDCQ.SEA1BS,5499.0,R
215,BDCQ.SEA1BS,5811.0,R
216,BDCQ.SEA1BS,5847.0,R
217,BDCQ.SEA1BS,5922.0,R
218,BDCQ.SEA1BS,5722.0,R
219,BDCQ.SEA1BS,5487.0,R
220,BDCQ.SEA1BS,5506.0,R
221,BDCQ.SEA1BS,5540.0,R
222,BDCQ.SEA1BS,5492.0,R
223,BDCQ.SEA1BS,6004.0,R
224,BDCQ.SEA1BS,5886.0,R
225,BDCQ.SEA1BS,5815.0,R
226,BDCQ.SEA1BS,5592.0,R
227,BDCQ.SEA1BS,5300.0,R
228,BDCQ.SEA1BS,5422.0,R
229,BDCQ.SEA1BS,5199.0,R
230,BDCQ.SEA1BS,5060.0,R
231,BDCQ.SEA1BS,5194.0,R
232,BDCQ.SEA1BS,5080.0,R
233,BDCQ.SEA1BS,5129.0,R
234,BDCQ.SEA1BS,5157.0,R
235,BDCQ.SEA1BS,5264.0,R
236,BDCQ.SEA1BS,5164.0,R
237,BDCQ.SEA1BS,5208.0,R
238,BDCQ.SEA1BS,5381.0,R
239,BDCQ.SEA1BS,5370.0,R
240,BDCQ.SEA1BS,5385.0,R
241,BDCQ.SEA1BS,5461.0,R
242,BDCQ.SEA1BS,5434.0,R
243,BDCQ.SEA1BS,5437.0,R
244,BDCQ.SEA1BS,5068.0,R
245,BDCQ.SEA1BS,5370.0,R
246,BDCQ.SEA1BS,5165.0,R
247,BDCQ.SEA1BS,5267.0,R
248,BDCQ.SEA1BS,5245.0,R
249,BDCQ.SEA1BS,5355.0,R
250,BDCQ.SEA1BS,5295.0,R
251,BDCQ.SEA1BS,5384.0,R
252,BDCQ.SEA1BS,5353.0,R
253,BDCQ.SEA1BS,5354.0,R
254,BDCQ.SEA1BS,5410.0,R
255,BDCQ.SEA1BS,5427.0,R
256,BDCQ.SEA1BS,5548.0,R
257,BDCQ.SEA1BS,5490.0,R
258,BDCQ.SEA1BS,5653.0,R
259,BDCQ.SEA1BS,5717.0,R
260,BDCQ.SEA1BS,5874.0,R
261,BDCQ.SEA1BS,5803.0,R
262,BDCQ.SEA1BS,5791.0,R
263,BDCQ.SEA1BS,5845.0,R
264,BDCQ.SEA1BS,5995.0,F
265,BDCQ.SEA1BT,5198.0,R
266,BDCQ.SEA1BT,5309.0,R
267,BDCQ.SEA1BT,5517.0,R
268,BDCQ.SEA1BT,5761.0,R
269,BDCQ.SEA1BT,5893.0,R
270,BDCQ.SEA1BT,5881.0,R
271,BDCQ.SEA1BT,5718.0,R
272,BDCQ.SEA1BT,5526.0,R
273,BDCQ.SEA1BT,5494.0,R
274,BDCQ.SEA1BT,5492.0,R
275,BDCQ.SEA1BT,5637.0,R
276,BDCQ.SEA1BT,5873.0,R
277,BDCQ.SEA1BT,5949.0,R
278,BDCQ.SEA1BT,5790.0,R
279,BDCQ.SEA1BT,5580.0,R
280,BDCQ.SEA1BT,5425.0,R
281,BDCQ.SEA1BT,5352.0,R
282,BDCQ.SEA1BT,5212.0,R
283,BDCQ.SEA1BT,5112.0,R
284,BDCQ.SEA1BT,5126.0,R
285,BDCQ.SEA1BT,5124.0,R
286,BDCQ.SEA1BT,5108.0,R
287,BDCQ.SEA1BT,5185.0,R
288,BDCQ.SEA1BT,5217.0,R
289,BDCQ.SEA1BT,5191.0,R
290,BDCQ.SEA1BT,5230.0,R
291,BDCQ.SEA1BT,5343.0,R
292,BDCQ.SEA1BT,5383.0,R
293,BDCQ.SEA1BT,5400.0,R
294,BDCQ.SEA1BT,5439.0,R
295,BDCQ.SEA1BT,5461.0,R
296,BDCQ.SEA1BT,5391.0,R
297,BDCQ.SEA1BT,5283.0,R
298,BDCQ.SEA1BT,5192.0,R
299,BDCQ.SEA1BT,5202.0,R
300,BDCQ.SEA1BT,5228.0,R
301,BDCQ.SEA1BT,5286.0,R
302,BDCQ.SEA1BT,5309.0,R
303,BDCQ.SEA1BT,5338.0,R
304,BDCQ.SEA1BT,5353.0,R
